START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:05 PM,03:05 PM,Angels at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",02/23/18,02/23/18,03:05 PM,06:05 PM,FALSE,TRUE,02/23/18,11:05 AM,02:05 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/25/18,12:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",02/25/18,02/25/18,03:05 PM,06:05 PM,FALSE,TRUE,02/25/18,11:05 AM,02:05 PM,FREE,BUSY
03/01/18,12:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/01/18,03/01/18,03:05 PM,06:05 PM,FALSE,TRUE,03/01/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
03/05/18,12:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/05/18,03/05/18,03:05 PM,06:05 PM,FALSE,TRUE,03/05/18,11:05 AM,02:05 PM,FREE,BUSY
03/06/18,12:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/06/18,03/06/18,03:05 PM,06:05 PM,FALSE,TRUE,03/06/18,11:05 AM,02:05 PM,FREE,BUSY
03/08/18,12:05 PM,03:05 PM,Angels at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/08/18,03/08/18,03:05 PM,06:05 PM,FALSE,TRUE,03/08/18,11:05 AM,02:05 PM,FREE,BUSY
03/11/18,01:05 PM,04:05 PM,Cubs at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/11/18,03/11/18,04:05 PM,07:05 PM,FALSE,TRUE,03/11/18,12:05 PM,03:05 PM,FREE,BUSY
03/12/18,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",03/12/18,03/12/18,04:05 PM,07:05 PM,FALSE,TRUE,03/12/18,12:05 PM,03:05 PM,FREE,BUSY
03/15/18,07:05 PM,10:05 PM,Mariners at Athletics,Hohokam Stadium - Mesa,"Local TV: NBCSCA",03/15/18,03/16/18,10:05 PM,01:05 AM,FALSE,TRUE,03/15/18,06:05 PM,09:05 PM,FREE,BUSY
03/16/18,01:05 PM,04:05 PM,Indians at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/16/18,03/16/18,04:05 PM,07:05 PM,FALSE,TRUE,03/16/18,12:05 PM,03:05 PM,FREE,BUSY
03/17/18,01:05 PM,04:05 PM,Mariners at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",03/17/18,03/17/18,04:05 PM,07:05 PM,FALSE,TRUE,03/17/18,12:05 PM,03:05 PM,FREE,BUSY
03/18/18,01:05 PM,04:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"Local Radio: 95.7 FM The Game- A's Radio Net",03/18/18,03/18/18,04:05 PM,07:05 PM,FALSE,TRUE,03/18/18,12:05 PM,03:05 PM,FREE,BUSY
03/20/18,01:05 PM,04:05 PM,Dodgers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/20/18,03/20/18,04:05 PM,07:05 PM,FALSE,TRUE,03/20/18,12:05 PM,03:05 PM,FREE,BUSY
03/22/18,01:05 PM,04:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/22/18,03/22/18,04:05 PM,07:05 PM,FALSE,TRUE,03/22/18,12:05 PM,03:05 PM,FREE,BUSY
03/24/18,12:05 PM,03:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/24/18,03/24/18,03:05 PM,06:05 PM,FALSE,TRUE,03/24/18,11:05 AM,02:05 PM,FREE,BUSY
