START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/19,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",02/24/19,02/24/19,06:05 PM,07:05 PM,FALSE,TRUE,02/24/19,02:05 PM,03:05 PM,FREE,BUSY
02/27/19,02:05 PM,03:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/27/19,02/27/19,05:05 PM,06:05 PM,FALSE,TRUE,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
03/01/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan (delay)",03/01/19,03/01/19,05:05 PM,06:05 PM,FALSE,TRUE,03/01/19,01:05 PM,02:05 PM,FREE,BUSY
03/03/19,02:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/03/19,03/03/19,05:05 PM,06:05 PM,FALSE,TRUE,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
03/04/19,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/04/19,03/04/19,05:05 PM,06:05 PM,FALSE,TRUE,03/04/19,01:05 PM,02:05 PM,FREE,BUSY
03/06/19,02:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/06/19,03/06/19,05:05 PM,06:05 PM,FALSE,TRUE,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
03/09/19,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/09/19,03/09/19,05:05 PM,06:05 PM,FALSE,TRUE,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
03/11/19,03:05 PM,04:05 PM,Angels at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW",03/11/19,03/11/19,06:05 PM,07:05 PM,FALSE,TRUE,03/11/19,02:05 PM,03:05 PM,FREE,BUSY
03/11/19,09:05 PM,10:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW ----- Local Radio: 105.3 The Fan",03/12/19,03/12/19,12:05 AM,01:05 AM,FALSE,TRUE,03/11/19,08:05 PM,09:05 PM,FREE,BUSY
03/15/19,03:05 PM,04:05 PM,Indians at Rangers,Surprise Stadium - Surprise,"Local TV: Texas 21",03/15/19,03/15/19,06:05 PM,07:05 PM,FALSE,TRUE,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
03/17/19,03:05 PM,04:05 PM,D-backs at Rangers,Surprise Stadium - Surprise,"Local TV: Texas 21 ----- Local Radio: 105.3 The Fan",03/17/19,03/17/19,06:05 PM,07:05 PM,FALSE,TRUE,03/17/19,02:05 PM,03:05 PM,FREE,BUSY
03/18/19,09:05 PM,10:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"Local TV: Texas 21- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan",03/19/19,03/19/19,12:05 AM,01:05 AM,FALSE,TRUE,03/18/19,08:05 PM,09:05 PM,FREE,BUSY
03/20/19,03:05 PM,04:05 PM,Reds at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW",03/20/19,03/20/19,06:05 PM,07:05 PM,FALSE,TRUE,03/20/19,02:05 PM,03:05 PM,FREE,BUSY
03/21/19,03:05 PM,04:05 PM,Indians at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW",03/21/19,03/21/19,06:05 PM,07:05 PM,FALSE,TRUE,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
