START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/19,01:05 PM,01:05 PM,Marlins at Pirates,LECOM Park - Bradenton,"Local Radio: KDKA-FM 93.7",02/24/19,02/24/19,04:05 PM,04:05 PM,FALSE,TRUE,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
02/25/19,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,"Local Radio: KDKA 1020",02/25/19,02/25/19,04:05 PM,04:05 PM,FALSE,TRUE,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
02/27/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,"Local Radio: MLB.com",02/27/19,02/27/19,04:05 PM,04:05 PM,FALSE,TRUE,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
03/02/19,01:05 PM,01:05 PM,Yankees at Pirates,LECOM Park - Bradenton,"Local Radio: MLB.com",03/02/19,03/02/19,04:05 PM,04:05 PM,FALSE,TRUE,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
03/03/19,01:05 PM,01:05 PM,Rays at Pirates,LECOM Park - Bradenton,"Local Radio: KDKA-FM 93.7",03/03/19,03/03/19,04:05 PM,04:05 PM,FALSE,TRUE,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
03/07/19,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7",03/07/19,03/07/19,04:05 PM,04:05 PM,FALSE,TRUE,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
03/08/19,01:05 PM,01:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT",03/08/19,03/08/19,04:05 PM,04:05 PM,FALSE,TRUE,03/08/19,12:05 PM,12:05 PM,FREE,BUSY
03/09/19,01:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT",03/09/19,03/09/19,04:05 PM,04:05 PM,FALSE,TRUE,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
03/12/19,01:05 PM,01:05 PM,Twins at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT- MLBN ----- Local Radio: KDKA-FM 93.7",03/12/19,03/12/19,04:05 PM,04:05 PM,FALSE,TRUE,03/12/19,12:05 PM,12:05 PM,FREE,BUSY
03/14/19,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT",03/14/19,03/14/19,04:05 PM,04:05 PM,FALSE,TRUE,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
03/15/19,06:05 PM,06:05 PM,Rays at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7",03/15/19,03/15/19,09:05 PM,09:05 PM,FALSE,TRUE,03/15/19,05:05 PM,05:05 PM,FREE,BUSY
03/17/19,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,"Local TV: ATT SportsNet-PIT ----- Local Radio: KDKA-FM 93.7",03/17/19,03/17/19,04:05 PM,04:05 PM,FALSE,TRUE,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
