START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/19,01:05 PM,01:05 PM,Twins at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN ----- Local Radio: Orioles Radio Network",02/23/19,02/23/19,04:05 PM,04:05 PM,FALSE,TRUE,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
02/24/19,01:05 PM,01:05 PM,Blue Jays at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: Orioles Radio Network",02/24/19,02/24/19,04:05 PM,04:05 PM,FALSE,TRUE,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
02/26/19,01:05 PM,01:05 PM,Rays at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: MLB.com",02/26/19,02/26/19,04:05 PM,04:05 PM,FALSE,TRUE,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
03/01/19,01:05 PM,01:05 PM,Rays at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: MLB.com",03/01/19,03/01/19,04:05 PM,04:05 PM,FALSE,TRUE,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
03/03/19,03:05 PM,03:05 PM,Tigers at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN",03/03/19,03/03/19,06:05 PM,06:05 PM,FALSE,TRUE,03/03/19,02:05 PM,02:05 PM,FREE,BUSY
03/05/19,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: MLB.com",03/05/19,03/05/19,04:05 PM,04:05 PM,FALSE,TRUE,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
03/08/19,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN- MLBN (out-of-market only)",03/08/19,03/08/19,04:05 PM,04:05 PM,FALSE,TRUE,03/08/19,12:05 PM,12:05 PM,FREE,BUSY
03/09/19,06:05 PM,06:05 PM,Yankees at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN ----- Local Radio: Orioles Radio Network",03/09/19,03/09/19,09:05 PM,09:05 PM,FALSE,TRUE,03/09/19,05:05 PM,05:05 PM,FREE,BUSY
03/10/19,01:05 PM,01:05 PM,Phillies at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: Orioles Radio Network",03/10/19,03/10/19,04:05 PM,04:05 PM,FALSE,TRUE,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
03/13/19,01:05 PM,01:05 PM,Blue Jays at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: MLB.com",03/13/19,03/13/19,04:05 PM,04:05 PM,FALSE,TRUE,03/13/19,12:05 PM,12:05 PM,FREE,BUSY
